Depth_P1_G0 0.0976876 0.0901611 1.0737 2.3671 0.204209 9.89949 41.2311 31.3316 413.037 11 0
Depth_P1_G0 0.0898909 0.0898909 1 2.54352 0.0916021 21.587 41.0366 19.4495 632.587 9 0
Depth_P1_G0 0.092354 0.0906674 1.01733 2.49083 0.161603 13.6015 40.4599 26.8584 359.94 11 0
Depth_P1_G0 0.109638 0.10915 1.00395 2.41095 0.496414 13.6015 55.4437 41.8422 714.598 10 0.111111
Depth_P1_G0 0.0918512 0.0912502 1.0054 2.64185 0.181959 14.8661 42.72 27.8539 216.437 15 0
Depth_P1_G0 0.0931815 0.0928344 1.00325 2.65406 0.0580242 16.6433 44.7214 28.078 356.34 11 0
Depth_P1_G0 0.092962 0.0873408 1.05512 2.56745 0.12074 19.2354 44.0454 24.81 296.769 14 0
Depth_P1_G0 0.107753 0.107753 1 2.01377 0.483612 20.5913 53.0094 32.4182 1314.88 6 0.2
Depth_P1_G0 0.0918195 0.0918195 1 2.51305 0.177844 18.6815 42.45 23.7684 591.933 9 0
Depth_P1_G0 0.090799 0.0907753 1.00024 2.59713 0.135398 20.3961 42.72 22.3239 477.064 10 0
Depth_P1_G1 0.107001 0.0903779 1.15861 2.33194 0.197983 18.6815 55.0364 36.3548 620.733 11 0
Depth_P1_G1 0.109433 0.0921243 1.13543 2.01419 0.413271 12.8062 42.0119 29.2057 734.109 8 0.142857
Depth_P1_G1 0.113237 0.0911115 1.20675 2.02104 0.436717 13.3417 48.7545 35.4128 1011.99 8 0.142857
Depth_P1_G1 0.107247 0.0889328 1.17809 2.29877 0.53785 18.6815 53.3104 34.6289 608.902 10 0.111111
Depth_P1_G1 0.116082 0.0929325 1.21511 2.25701 0.507639 17.8885 61.3922 43.5036 667.339 10 0.111111
Depth_P1_G1 0.11627 0.0953337 1.18782 2.02015 0.549763 16.4012 54.0093 37.608 924.191 8 0.142857
Depth_P1_G1 0.112254 0.0880941 1.21313 2.44526 0.29685 14.7648 50.5668 35.802 274.551 16 0.0666667
Depth_P1_G1 0.119104 0.0961044 1.20067 2.23889 0.521419 19.105 54.1202 35.0153 575.686 10 0.111111
Depth_P1_G1 0.103359 0.0897278 1.09363 2.26005 0.294822 13.4164 42.5206 29.1042 455.336 11 0
Depth_P1_G1 0.105346 0.0908955 1.10995 2.29779 0.134231 13.6015 41.7732 28.1717 503.754 10 0
