Depth_P1_G0 0.0976876 0.0901611 2.3671 0.204209 9.89949 41.2311 31.3316 413.037 3 3
Depth_P1_G1 0.107001 0.0903779 2.33194 0.197983 18.6815 55.0364 36.3548 620.733 4 5
Depth_P1_G2 0.123748 0.086352 2.18603 0.535554 10.2956 50.1597 39.8641 1122.23 5 4
Depth_P1_G3 0.105972 0.0633636 1.7614 0.527552 7.61577 48.0937 40.4779 911.997 3 5
Depth_P1_G4 0.123698 0.0601117 1.95989 0.527808 5.38516 47.8017 42.4165 454.664 14 2
Depth_P1_G5 0.108977 0.0614046 1.67206 0.710399 6.08276 50 43.9172 638.703 10 2
Depth_P1_G6 0.119105 0.0740053 1.89761 0.567295 7.2111 50.2096 42.9985 668.619 5 4
Depth_P1_G7 0.132771 0.0729449 2.09301 0.482495 12.3693 51.1566 38.7873 786.888 9 5
Depth_P1_G8 0.127478 0.0733109 2.00923 0.676865 6 55.0364 49.0364 441.381 7 2
Depth_P1_G9 0.115565 0.0689066 1.99399 0.647884 8.544 58.0775 49.5335 495.076 9 3
