Depth_P1_G0 0.0918195 0.0918195 1 2.51305 0.177844 18.6815 42.45 23.7684 591.933 3 5
Depth_P1_G1 0.103359 0.0897278 1.09363 2.26005 0.294822 13.4164 42.5206 29.1042 455.336 4 5
Depth_P1_G2 0.12803 0.0764388 1.35802 2.37281 0.474487 6.08276 45.5412 39.4584 247.256 16 3
Depth_P1_G3 0.10461 0.0627638 1.29005 1.94474 0.527138 7.07107 51.0392 43.9681 470.285 8 3
Depth_P1_G4 0.106273 0.0600532 1.18605 2.13361 0.586612 7.28011 44.0454 36.7653 376.785 17 1
Depth_P1_G5 0.12398 0.0674321 1.44623 2.04386 0.709436 7.61577 49.7293 42.1135 470.564 7 2
Depth_P1_G6 0.130557 0.0736807 1.34986 2.1603 0.342388 9.43398 38.4708 29.0368 248.107 14 2
Depth_P1_G7 0.11261 0.0690435 1.2913 2.16088 0.46884 7.2111 49.98 42.7689 394.568 11 2
Depth_P1_G8 0.114945 0.0695555 1.31663 2.12921 0.293304 8.48528 44.7772 36.2919 315.637 11 2
Depth_P1_G9 0.15028 0.0750857 1.57426 1.93812 0.521601 8.544 40.8534 32.3094 493.501 6 5
